epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1758.14,0.7772,1.53514,0.76965,0.9276,0.63726,0.37076,0.3831,0.24201,0.62714,0.36343,0.36575,0.21512,0.90253,2.09435,1.0995,0.99273,0.000304601,0.000304601,0.000304601
63,1784.1,0.78323,1.55686,0.76939,0.92413,0.47155,0.38683,0.37342,0.23223,0.47446,0.38158,0.37111,0.21557,0.90516,2.11378,1.10947,0.99369,0.000296988,0.000296988,0.000296988
64,1810.39,0.79264,1.58294,0.76681,0.92928,0.61737,0.38356,0.39976,0.24855,0.6108,0.36191,0.37999,0.22042,0.90836,2.10762,1.09877,0.99747,0.000289375,0.000289375,0.000289375
65,1836.56,0.78298,1.54828,0.76948,0.92446,0.61777,0.3883,0.38743,0.24022,0.60955,0.37288,0.37687,0.21792,0.90925,2.15045,1.11254,1.00191,0.000281762,0.000281762,0.000281762
66,1862.97,0.774,1.54409,0.76156,0.92002,0.47193,0.41587,0.39669,0.24091,0.49622,0.37242,0.37701,0.2149,0.89807,2.16015,1.07173,0.99061,0.000274148,0.000274148,0.000274148
67,1889.92,0.77562,1.53796,0.74551,0.92383,0.59588,0.389,0.38687,0.24562,0.62156,0.37471,0.38032,0.22186,0.89894,2.08134,1.07808,0.9914,0.000266535,0.000266535,0.000266535
68,1920.8,0.78057,1.54772,0.74422,0.92228,0.6157,0.41909,0.39135,0.24524,0.61133,0.41055,0.3817,0.21933,0.90136,2.1136,1.08897,1.00078,0.000258922,0.000258922,0.000258922
69,1953.24,0.75906,1.5034,0.73456,0.91425,0.62886,0.39354,0.39335,0.241,0.61172,0.38345,0.37568,0.21955,0.87931,2.15482,1.11357,0.99471,0.000251309,0.000251309,0.000251309
70,1987.84,0.75416,1.48486,0.72572,0.91634,0.61175,0.39496,0.38598,0.24144,0.61644,0.37418,0.37486,0.2149,0.89457,2.13931,1.11724,0.99693,0.000243696,0.000243696,0.000243696
71,2016.68,0.77592,1.52287,0.74148,0.924,0.62207,0.36567,0.38916,0.24291,0.6516,0.33633,0.37174,0.2165,0.90987,2.09821,1.12654,1.00288,0.000236083,0.000236083,0.000236083
72,2044.42,0.75698,1.50012,0.7245,0.91745,0.62156,0.38157,0.39382,0.24643,0.60468,0.37551,0.38292,0.22313,0.88033,2.1008,1.10571,0.99278,0.00022847,0.00022847,0.00022847
73,2072.37,0.76794,1.49601,0.73298,0.91808,0.5771,0.43109,0.38739,0.2388,0.56503,0.41329,0.37618,0.21991,0.9015,2.101,1.11388,1.00178,0.000220857,0.000220857,0.000220857
74,2100.27,0.76278,1.49308,0.71326,0.91982,0.5876,0.40821,0.39134,0.24372,0.62267,0.38314,0.38426,0.22124,0.89092,2.09052,1.06821,0.99203,0.000213244,0.000213244,0.000213244
75,2128.43,0.76767,1.49373,0.71925,0.91707,0.60219,0.3857,0.38657,0.23827,0.61448,0.37743,0.37585,0.21721,0.90069,2.09249,1.07283,1.00114,0.000205631,0.000205631,0.000205631
76,2157.14,0.75307,1.47253,0.71235,0.91078,0.59516,0.40611,0.3929,0.24039,0.58997,0.38933,0.36799,0.21368,0.89722,2.12381,1.08025,0.99425,0.000198018,0.000198018,0.000198018
77,2186.3,0.75548,1.47875,0.71591,0.91593,0.60851,0.38095,0.38822,0.24233,0.58872,0.37003,0.37396,0.21838,0.89644,2.11077,1.09256,0.99936,0.000190404,0.000190404,0.000190404
78,2214.71,0.76372,1.49343,0.70593,0.9208,0.6156,0.39056,0.38844,0.23664,0.58872,0.37259,0.36414,0.21198,0.90693,2.16728,1.10636,1.00165,0.000182791,0.000182791,0.000182791
79,2242.89,0.76063,1.47068,0.69617,0.91635,0.62179,0.38309,0.39013,0.24052,0.47721,0.38721,0.36897,0.21533,0.90142,2.15745,1.12662,1.00038,0.000175178,0.000175178,0.000175178
