epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2923.64,0.80069,1.5989,0.78987,0.93004,0.63123,0.40044,0.39579,0.24748,0.62357,0.38816,0.38484,0.22413,0.9004,2.13394,1.11847,0.99589,0.000335053,0.000335053,0.000335053
59,2947.64,0.79006,1.56151,0.78745,0.92822,0.61525,0.39404,0.39009,0.23317,0.61206,0.38587,0.37583,0.2105,0.91611,2.20744,1.1271,1.00392,0.00032744,0.00032744,0.00032744
60,2971.5,0.78824,1.57643,0.77835,0.93183,0.52415,0.40414,0.39634,0.24595,0.62996,0.38474,0.37688,0.21948,0.89715,2.12923,1.08034,0.99309,0.000319827,0.000319827,0.000319827
61,2995.43,0.78786,1.56071,0.77173,0.92742,0.46374,0.44214,0.38831,0.2376,0.66807,0.36327,0.36994,0.20789,0.89034,2.13449,1.08008,0.99041,0.000312214,0.000312214,0.000312214
62,3019.33,0.77969,1.53333,0.77064,0.92796,0.63416,0.37049,0.39336,0.24387,0.62823,0.36244,0.37853,0.21314,0.90135,2.17739,1.11355,0.9946,0.000304601,0.000304601,0.000304601
63,4051.7,0.77865,1.54439,0.76767,0.92295,0.52067,0.37889,0.39104,0.24271,0.51585,0.37398,0.38992,0.2142,0.89509,2.15689,1.05042,0.99202,0.000296988,0.000296988,0.000296988
64,4075.05,0.78715,1.57762,0.75934,0.92759,0.62195,0.40164,0.39135,0.2456,0.61376,0.39453,0.38039,0.21429,0.90547,2.14935,1.07871,0.99395,0.000289375,0.000289375,0.000289375
65,4097.91,0.78028,1.5455,0.75908,0.92339,0.61721,0.39235,0.38813,0.23876,0.60441,0.3792,0.38219,0.20889,0.91181,2.2351,1.11056,0.99904,0.000281762,0.000281762,0.000281762
66,4121.12,0.77242,1.54174,0.75532,0.92065,0.62146,0.38813,0.3939,0.24157,0.62345,0.38068,0.38055,0.21421,0.8829,2.1674,1.06797,0.99013,0.000274148,0.000274148,0.000274148
67,4144.87,0.77144,1.5333,0.73951,0.92316,0.5033,0.39415,0.38519,0.23815,0.50352,0.38492,0.37665,0.21775,0.89143,2.10626,1.11094,0.99274,0.000266535,0.000266535,0.000266535
68,4168.82,0.77793,1.54602,0.74113,0.92177,0.47011,0.42116,0.39235,0.24214,0.5035,0.38885,0.38861,0.218,0.90767,2.15551,1.14253,1.00238,0.000258922,0.000258922,0.000258922
69,4192.74,0.76108,1.49368,0.73343,0.91492,0.53586,0.39099,0.39684,0.24647,0.52283,0.39333,0.38338,0.22055,0.89747,2.20676,1.1147,0.9998,0.000251309,0.000251309,0.000251309
70,4216.56,0.75676,1.4832,0.72536,0.91694,0.62822,0.38424,0.39409,0.24044,0.60897,0.37486,0.37287,0.21514,0.90007,2.17188,1.09427,0.99994,0.000243696,0.000243696,0.000243696
71,5253.9,0.77712,1.52702,0.73882,0.92499,0.4859,0.39776,0.39026,0.23867,0.47905,0.38724,0.3793,0.21577,0.92744,2.15761,1.1831,1.0093,0.000236083,0.000236083,0.000236083
72,5277.18,0.75502,1.49459,0.71762,0.91665,0.3764,0.40206,0.39199,0.23961,0.3605,0.39404,0.3852,0.21258,0.89613,2.13456,1.12706,0.99851,0.00022847,0.00022847,0.00022847
73,5300.09,0.76597,1.49511,0.72973,0.91639,0.52169,0.38164,0.38925,0.23771,0.53826,0.36451,0.37539,0.21369,0.90339,2.18715,1.1123,0.99973,0.000220857,0.000220857,0.000220857
74,5323.31,0.76089,1.49269,0.71094,0.91971,0.59903,0.40126,0.39428,0.24332,0.63447,0.38212,0.38693,0.22071,0.88533,2.15235,1.08046,0.99596,0.000213244,0.000213244,0.000213244
75,5346.77,0.76672,1.50436,0.71779,0.91652,0.48524,0.41704,0.39205,0.2378,0.48627,0.39783,0.37971,0.21279,0.89936,2.14396,1.09603,1.00115,0.000205631,0.000205631,0.000205631
76,5370.38,0.7532,1.47184,0.70931,0.91111,0.36569,0.40093,0.3878,0.23883,0.37354,0.37458,0.37988,0.21244,0.8983,2.13994,1.12398,0.99668,0.000198018,0.000198018,0.000198018
77,5394.16,0.75183,1.47712,0.70757,0.91472,0.49229,0.41597,0.3913,0.24166,0.47716,0.41068,0.3783,0.21275,0.90044,2.17479,1.11944,0.9997,0.000190404,0.000190404,0.000190404
78,5417.94,0.76214,1.4906,0.7023,0.92005,0.47687,0.42525,0.40035,0.24244,0.49511,0.38151,0.38761,0.21725,0.90196,2.17515,1.1325,1.00013,0.000182791,0.000182791,0.000182791
79,6443.52,0.75929,1.47025,0.6928,0.91654,0.5204,0.40894,0.39406,0.24292,0.50358,0.40391,0.38166,0.21773,0.90104,2.17966,1.11482,1.00319,0.000175178,0.000175178,0.000175178
80,6466.68,0.75317,1.46056,0.68912,0.91529,0.50836,0.38171,0.39015,0.2437,0.50794,0.38016,0.38647,0.2214,0.90646,2.18273,1.14672,1.00111,0.000167565,0.000167565,0.000167565
81,6489.57,0.75136,1.46693,0.68623,0.91232,0.50168,0.40115,0.39789,0.24482,0.48342,0.37981,0.37332,0.22171,0.90344,2.21559,1.12663,1.00634,0.000159952,0.000159952,0.000159952
82,6512.65,0.75816,1.48135,0.6964,0.91715,0.50938,0.41552,0.39303,0.24166,0.49712,0.40552,0.37912,0.21515,0.91318,2.21689,1.11588,1.00783,0.000152339,0.000152339,0.000152339
83,6535.93,0.76221,1.47464,0.69529,0.91696,0.53862,0.39214,0.39579,0.23926,0.52396,0.36718,0.37673,0.21597,0.90141,2.22272,1.11754,0.99973,0.000144726,0.000144726,0.000144726
84,6559.72,0.75875,1.469,0.68172,0.91284,0.63842,0.39999,0.38849,0.23994,0.63168,0.39168,0.37919,0.21555,0.89599,2.20296,1.09541,1.00344,0.000137113,0.000137113,0.000137113
